Achiral,Chiral A,Chiral B
3910,106,80
3871,133,92
3825,152,119
3795,164,137
3752,176,168
3707,193,196
3663,212,221
3607,245,244
3571,262,263
3527,277,292
3470,304,322
3405,348,343
3355,372,369
3282,405,409
3227,434,435
3175,459,462
3124,479,493
3071,503,522
3026,531,539
2965,559,572
2921,589,586
2849,620,627
2792,642,662
2702,670,724
2598,715,783
2520,731,845
2432,754,910
2310,800,986
2206,838,1052
2080,893,1123
1977,933,1186
1850,982,1264
1749,1026,1321
1623,1082,1391
1480,1145,1471
1360,1202,1534
1229,1257,1610
1119,1303,1674
1009,1341,1746
910,1393,1793
817,1437,1842
724,1465,1907
635,1502,1959
542,1531,2023
491,1542,2063
437,1552,2107
388,1566,2142
345,1582,2169
308,1593,2195
241,1628,2227
213,1627,2256
180,1639,2277
163,1632,2301
132,1635,2329
127,1628,2341
109,1621,2366
93,1616,2387
85,1624,2387
88,1628,2380
64,1635,2397
64,1624,2408
58,1607,2431
58,1596,2442
60,1585,2451
47,1576,2473
52,1559,2485
41,1561,2494
43,1555,2498
33,1553,2510
28,1553,2515
29,1542,2525
22,1548,2526
34,1539,2523
32,1539,2525
34,1532,2530
18,1528,2550
34,1530,2532
31,1528,2537
28,1530,2538
33,1534,2529
22,1538,2536
28,1540,2528
27,1540,2529
27,1534,2535
21,1533,2542
25,1528,2543
26,1530,2540
26,1533,2537
30,1527,2539
30,1516,2550
26,1509,2561
33,1500,2563
46,1496,2554
35,1490,2571
28,1491,2577
27,1485,2584
34,1481,2581
37,1466,2593
29,1460,2607
43,1445,2608
27,1443,2626
22,1440,2634
15,1441,2640
28,1437,2631
26,1435,2635
25,1433,2638
20,1434,2642
21,1431,2644
20,1425,2651
22,1430,2644
23,1427,2646
25,1421,2650
21,1411,2664
22,1413,2661
24,1414,2658
15,1423,2658
23,1420,2653
16,1423,2657
27,1410,2659
27,1409,2660
25,1406,2665
16,1406,2674
28,1395,2673
32,1399,2665
24,1408,2664
15,1405,2676
13,1407,2676
28,1398,2670
19,1401,2676
34,1390,2672
23,1397,2676
22,1393,2681
22,1395,2679
21,1392,2683
25,1386,2685
17,1386,2693
27,1380,2689
21,1379,2696
24,1372,2700
17,1372,2707
27,1358,2711
29,1353,2714
23,1350,2723
21,1349,2726
17,1351,2728
17,1345,2734
22,1341,2733
23,1341,2732
22,1338,2736
25,1331,2740
21,1331,2744
18,1322,2756
34,1303,2759
21,1308,2767
20,1311,2765
18,1308,2770
19,1307,2770
28,1304,2764
19,1305,2772
22,1297,2777
31,1294,2771
22,1308,2766
34,1300,2762
30,1303,2763
16,1313,2767
21,1306,2769
25,1301,2770
15,1307,2774
18,1303,2775
25,1301,2770
22,1301,2773
27,1298,2771
23,1299,2774
28,1286,2782
20,1283,2793
17,1287,2792
23,1287,2786
16,1288,2792
16,1294,2786
22,1287,2787
26,1285,2785
21,1277,2798
10,1277,2809
22,1279,2795
15,1283,2798
12,1284,2800
10,1281,2805
23,1274,2799
14,1273,2809
29,1264,2803
15,1269,2812
17,1269,2810
23,1259,2814
23,1258,2815
20,1253,2823
20,1252,2824
20,1248,2828
22,1249,2825
24,1251,2821
22,1249,2825
15,1256,2825
9,1254,2833
18,1248,2830
15,1245,2836
17,1248,2831
16,1249,2831
15,1252,2829
8,1256,2832
12,1256,2828
15,1252,2829
12,1253,2831
17,1251,2828
24,1251,2821
10,1248,2838
16,1248,2832
12,1253,2831
18,1254,2824
24,1249,2823
21,1248,2827
20,1247,2829
14,1247,2835
27,1242,2827
15,1251,2830
20,1251,2825
23,1251,2822
15,1262,2819
18,1260,2818
14,1262,2820
17,1261,2818
17,1265,2814
18,1270,2808
18,1266,2812
19,1268,2809
14,1267,2815
26,1262,2808
18,1273,2805
19,1270,2807
8,1272,2816
17,1265,2814
19,1265,2812
18,1261,2817
15,1261,2820
17,1265,2814
16,1262,2818
11,1259,2826
11,1257,2828
11,1256,2829
13,1253,2830
14,1251,2831
24,1245,2827
22,1245,2829
