Achiral,Chiral A,Chiral B
14798,793,793
14632,873,879
14485,949,950
14325,1021,1038
14169,1087,1128
13994,1170,1220
13837,1248,1299
13710,1317,1357
13567,1385,1432
13414,1455,1515
13260,1514,1610
13083,1609,1692
12937,1686,1761
12752,1778,1854
12599,1865,1920
12422,1950,2012
12259,2008,2117
12101,2092,2191
11889,2195,2300
11659,2310,2415
11458,2398,2528
11244,2503,2637
11022,2620,2742
10785,2758,2841
10574,2861,2949
10278,3024,3082
9974,3184,3226
9689,3317,3378
9373,3462,3549
9055,3598,3731
8713,3756,3915
8399,3919,4066
8002,4121,4261
7659,4276,4449
7295,4484,4605
6954,4667,4763
6548,4855,4981
6198,5029,5157
5826,5215,5343
5498,5376,5510
5116,5563,5705
4733,5770,5881
4383,5962,6039
4041,6170,6173
3677,6367,6340
3352,6543,6489
3081,6675,6628
2793,6799,6792
2536,6931,6917
2257,7087,7040
2011,7219,7154
1777,7336,7271
1532,7459,7393
1305,7573,7506
1142,7648,7594
957,7734,7693
828,7803,7753
695,7873,7816
584,7923,7877
516,7940,7928
442,7971,7971
381,7983,8020
310,7994,8080
288,7998,8098
228,8042,8114
230,8034,8120
177,8060,8147
167,8062,8155
171,8053,8160
137,8086,8161
145,8077,8162
105,8094,8185
112,8083,8189
128,8081,8175
142,8062,8180
117,8082,8185
114,8085,8185
97,8087,8200
101,8097,8186
117,8086,8181
101,8084,8199
120,8073,8191
113,8071,8200
129,8067,8188
99,8062,8223
117,8053,8214
125,8031,8228
131,8022,8231
108,8026,8250
115,8043,8226
111,8041,8232
95,8040,8249
113,8032,8239
107,8029,8248
94,8040,8250
120,8037,8227
134,8032,8218
86,8048,8250
92,8034,8258
88,8025,8271
122,8006,8256
92,8013,8279
105,7996,8283
106,8006,8272
94,8005,8285
94,8005,8285
100,8005,8279
88,7998,8298
108,7991,8285
84,8016,8284
100,8002,8282
96,7986,8302
99,7997,8288
94,7992,8298
74,8010,8300
67,8001,8316
76,7991,8317
92,7996,8296
99,7990,8295
96,7973,8315
93,7971,8320
106,7964,8314
96,7964,8324
80,7977,8327
84,7963,8337
69,7968,8347
84,7960,8340
74,7952,8358
78,7952,8354
97,7950,8337
90,7955,8339
91,7955,8338
85,7946,8353
78,7948,8358
89,7936,8359
77,7940,8367
106,7925,8353
88,7932,8364
94,7932,8358
88,7933,8363
96,7923,8365
102,7933,8349
69,7956,8359
100,7934,8350
79,7938,8367
91,7940,8353
92,7939,8353
97,7948,8339
84,7946,8354
90,7942,8352
88,7937,8359
89,7924,8371
78,7924,8382
88,7914,8382
82,7900,8402
74,7913,8397
77,7908,8399
76,7888,8420
68,7881,8435
99,7873,8412
79,7878,8427
80,7869,8435
60,7867,8457
71,7857,8456
84,7845,8455
88,7842,8454
87,7841,8456
83,7835,8466
92,7850,8442
79,7843,8462
85,7841,8458
97,7821,8466
90,7825,8469
98,7801,8485
81,7820,8483
80,7819,8485
72,7824,8488
66,7829,8489
66,7823,8495
100,7799,8485
91,7809,8484
71,7800,8513
61,7807,8516
77,7808,8499
79,7810,8495
84,7794,8506
55,7808,8521
61,7794,8529
72,7790,8522
72,7776,8536
76,7788,8520
64,7781,8539
72,7787,8525
77,7778,8529
70,7793,8521
76,7794,8514
79,7795,8510
78,7805,8501
54,7805,8525
85,7779,8520
63,7792,8529
80,7772,8532
83,7775,8526
69,7777,8538
80,7767,8537
66,7772,8546
75,7772,8537
65,7769,8550
71,7767,8546
75,7764,8545
57,7778,8549
80,7765,8539
87,7760,8537
63,7775,8546
89,7748,8547
87,7737,8560
91,7729,8564
74,7745,8565
61,7744,8579
95,7722,8567
83,7716,8585
67,7710,8607
72,7703,8609
62,7710,8612
72,7714,8598
61,7719,8604
61,7707,8616
96,7692,8596
78,7702,8604
72,7696,8616
65,7693,8626
66,7689,8629
60,7687,8637
67,7685,8632
54,7699,8631
78,7683,8623
54,7696,8634
66,7693,8625
82,7678,8624
50,7691,8643
63,7681,8640
59,7679,8646
71,7675,8638
69,7667,8648
58,7672,8654
76,7663,8645
59,7678,8647
53,7671,8660
65,7661,8658
79,7660,8645
82,7668,8634
