Achiral,Chiral A,Chiral B
16384,0,0
16208,88,88
16051,175,158
15898,249,237
15733,318,333
15609,362,413
15447,452,485
15281,538,565
15107,612,665
14957,695,732
14803,779,802
14633,865,886
14431,958,995
14248,1053,1083
14106,1120,1158
13902,1220,1262
13707,1323,1354
13540,1396,1448
13350,1509,1525
13128,1626,1630
12903,1742,1739
12673,1857,1854
12421,1983,1980
12152,2144,2088
11875,2270,2239
11568,2425,2391
11266,2570,2548
10925,2732,2727
10571,2904,2909
10194,3087,3103
9811,3267,3306
9450,3433,3501
9048,3621,3715
8658,3822,3904
8244,4067,4073
7873,4256,4255
7426,4482,4476
7002,4728,4654
6590,4964,4830
6159,5206,5019
5733,5451,5200
5273,5707,5404
4851,5911,5622
4436,6108,5840
4019,6326,6039
3635,6543,6206
3197,6785,6402
2809,6976,6599
2477,7129,6778
2178,7277,6929
1930,7408,7046
1716,7525,7143
1551,7618,7215
1350,7721,7313
1182,7827,7375
1000,7945,7439
831,8036,7517
683,8126,7575
601,8173,7610
472,8228,7684
411,8272,7701
339,8337,7708
257,8405,7722
244,8428,7712
210,8443,7731
177,8484,7723
172,8510,7702
157,8521,7706
134,8540,7710
124,8546,7714
124,8543,7717
129,8543,7712
131,8548,7705
146,8538,7700
115,8548,7721
124,8569,7691
126,8583,7675
97,8617,7670
119,8604,7661
94,8620,7670
118,8590,7676
101,8599,7684
99,8610,7675
116,8597,7671
135,8592,7657
125,8603,7656
100,8629,7655
95,8632,7657
123,8621,7640
108,8645,7631
101,8650,7633
115,8652,7617
88,8658,7638
106,8640,7638
102,8664,7618
89,8696,7599
120,8681,7583
102,8699,7583
116,8691,7577
106,8709,7569
97,8730,7557
104,8724,7556
90,8727,7567
126,8720,7538
108,8738,7538
101,8740,7543
101,8751,7532
117,8745,7522
94,8781,7509
108,8777,7499
108,8784,7492
108,8794,7482
105,8800,7479
113,8803,7468
95,8819,7470
94,8814,7476
109,8810,7465
115,8806,7463
94,8825,7465
102,8805,7477
101,8807,7476
104,8822,7458
116,8819,7449
96,8846,7442
128,8846,7410
102,8840,7442
91,8844,7449
81,8856,7447
88,8847,7449
95,8849,7440
93,8852,7439
92,8869,7423
84,8872,7428
87,8872,7425
86,8870,7428
71,8874,7439
71,8865,7448
80,8854,7450
103,8835,7446
100,8835,7449
83,8847,7454
72,8864,7448
93,8870,7421
100,8864,7420
83,8865,7436
108,8851,7425
87,8871,7426
74,8877,7433
96,8882,7406
82,8878,7424
119,8858,7407
97,8871,7416
111,8871,7402
113,8863,7408
81,8880,7423
103,8870,7411
81,8886,7417
81,8888,7415
94,8891,7399
95,8880,7409
96,8890,7398
88,8898,7398
71,8911,7402
78,8916,7390
104,8903,7377
104,8902,7378
102,8901,7381
90,8893,7401
98,8901,7385
90,8891,7403
75,8913,7396
81,8913,7390
87,8913,7384
80,8924,7380
102,8922,7360
90,8940,7354
74,8943,7367
102,8940,7342
104,8925,7355
92,8935,7357
94,8943,7347
78,8952,7354
77,8947,7360
96,8938,7350
96,8935,7353
89,8957,7338
82,8973,7329
91,8967,7326
104,8962,7318
92,8971,7321
91,8966,7327
82,8968,7334
78,8979,7327
67,8988,7329
73,8997,7314
76,8998,7310
86,9002,7296
87,8989,7308
81,8995,7308
78,9001,7305
74,9016,7294
100,8996,7288
90,8989,7305
81,9002,7301
87,9001,7296
79,8999,7306
85,9003,7296
68,9013,7303
90,9011,7283
77,9010,7297
86,8989,7309
84,9001,7299
88,9013,7283
83,9016,7285
82,9026,7276
81,9019,7284
67,9037,7280
110,9030,7244
81,9042,7261
96,9029,7259
87,9044,7253
85,9055,7244
91,9056,7237
83,9063,7238
84,9053,7247
81,9058,7245
76,9050,7258
90,9052,7242
105,9050,7229
81,9059,7244
88,9055,7241
92,9050,7242
80,9045,7259
69,9058,7257
70,9066,7248
59,9073,7252
94,9064,7226
82,9062,7240
58,9078,7248
81,9061,7242
71,9056,7257
96,9046,7242
79,9063,7242
77,9072,7235
79,9065,7240
86,9059,7239
89,9067,7228
57,9088,7239
70,9084,7230
80,9083,7221
65,9088,7231
