Achiral,Chiral A,Chiral B
3703,181,212
3702,182,212
3699,182,215
3698,181,217
3688,186,222
3662,199,235
3653,207,236
3641,219,236
3602,248,246
3563,272,261
3533,284,279
3520,286,290
3482,298,316
3422,316,358
3364,349,383
3292,389,415
3227,437,432
3135,481,480
3067,502,527
2972,550,574
2895,586,615
2786,640,670
2679,673,744
2526,759,811
2402,820,874
2213,906,977
2038,972,1086
1855,1054,1187
1674,1107,1315
1508,1158,1430
1312,1248,1536
1091,1346,1659
937,1421,1738
765,1507,1824
673,1547,1876
597,1599,1900
543,1634,1919
466,1698,1932
365,1741,1990
370,1747,1979
349,1772,1975
310,1813,1973
278,1840,1978
299,1828,1969
289,1849,1958
310,1832,1954
276,1831,1989
281,1831,1984
277,1831,1988
308,1807,1981
297,1794,2005
281,1786,2029
294,1761,2041
326,1742,2028
305,1736,2055
301,1732,2063
309,1741,2046
302,1726,2068
334,1680,2082
282,1707,2107
291,1694,2111
323,1687,2086
330,1692,2074
353,1683,2060
372,1665,2059
369,1659,2068
352,1657,2087
331,1659,2106
359,1672,2065
325,1662,2109
377,1656,2063
324,1663,2109
398,1593,2105
393,1595,2108
390,1591,2115
408,1576,2112
379,1593,2124
382,1557,2157
404,1562,2130
401,1569,2126
401,1543,2152
404,1535,2157
444,1516,2136
443,1515,2138
452,1510,2134
392,1496,2208
464,1502,2130
454,1495,2147
453,1513,2130
462,1489,2145
467,1482,2147
480,1477,2139
440,1493,2163
437,1497,2162
410,1493,2193
472,1451,2173
429,1441,2226
485,1445,2166
512,1418,2166
503,1424,2169
522,1444,2130
