Achiral,Chiral A,Chiral B
3703,181,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
3702,182,212
2015,1069,1012
1478,1363,1255
1311,1453,1332
1304,1454,1338
1328,1415,1353
1241,1503,1352
1246,1450,1400
1242,1486,1368
1272,1457,1367
1213,1428,1455
924,1565,1607
328,1863,1905
145,1951,2000
79,1983,2034
50,2005,2041
35,2017,2044
32,2024,2040
24,2032,2040
23,2038,2035
17,2047,2032
19,2051,2026
17,2057,2022
18,2061,2017
14,2067,2015
15,2070,2011
12,2074,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
11,2075,2010
