Achiral,Chiral A,Chiral B
3703,181,212
3387,342,367
3104,521,471
2840,618,638
2527,747,822
2296,853,947
2011,988,1097
1718,1136,1242
1416,1234,1446
1201,1312,1583
1049,1350,1697
892,1398,1806
782,1406,1908
720,1404,1972
668,1452,1976
571,1510,2015
533,1505,2058
531,1506,2059
511,1497,2088
547,1466,2083
523,1465,2108
520,1464,2112
468,1470,2158
499,1439,2158
484,1451,2161
507,1444,2145
520,1411,2165
530,1409,2157
450,1435,2211
481,1424,2191
463,1428,2205
520,1380,2196
495,1395,2206
425,1421,2250
497,1397,2202
447,1391,2258
479,1376,2241
490,1390,2216
441,1376,2279
561,1343,2192
492,1351,2253
531,1322,2243
414,1357,2325
418,1356,2322
478,1346,2272
468,1339,2289
508,1314,2274
452,1340,2304
438,1315,2343
484,1312,2300
453,1308,2335
458,1329,2309
407,1330,2359
467,1310,2319
402,1297,2397
428,1298,2370
448,1282,2366
477,1256,2363
446,1245,2405
432,1265,2399
493,1216,2387
461,1229,2406
482,1195,2419
435,1200,2461
459,1190,2447
405,1187,2504
459,1178,2459
413,1149,2534
416,1141,2539
446,1131,2519
427,1134,2535
423,1142,2531
444,1150,2502
443,1117,2536
431,1093,2572
434,1081,2581
469,1065,2562
412,1102,2582
453,1087,2556
436,1078,2582
422,1063,2611
421,1069,2606
420,1089,2587
401,1093,2602
428,1070,2598
437,1070,2589
435,1078,2583
412,1075,2609
465,1034,2597
450,1028,2618
420,1004,2672
446,1011,2639
461,990,2645
411,999,2686
436,983,2677
425,960,2711
406,941,2749
428,957,2711
436,953,2707
391,962,2743
452,949,2695
