Achiral,Chiral A,Chiral B
3703,181,212
3509,296,291
3309,379,408
3089,500,507
2877,609,610
2607,742,747
2342,896,858
2083,1025,988
1780,1196,1120
1490,1350,1256
1167,1520,1409
916,1649,1531
685,1785,1626
481,1894,1721
376,1937,1783
262,1997,1837
246,2008,1842
176,2042,1878
189,2057,1850
164,2083,1849
149,2100,1847
158,2100,1838
115,2112,1869
141,2107,1848
130,2111,1855
139,2095,1862
129,2105,1862
126,2120,1850
129,2119,1848
132,2112,1852
124,2122,1850
118,2124,1854
118,2133,1845
122,2131,1843
113,2124,1859
88,2168,1840
120,2155,1821
96,2169,1831
111,2164,1821
124,2159,1813
102,2191,1803
107,2179,1810
103,2173,1820
120,2171,1805
119,2185,1792
128,2176,1792
104,2201,1791
102,2205,1789
93,2202,1801
106,2207,1783
104,2226,1766
116,2228,1752
114,2231,1751
108,2247,1741
100,2248,1748
84,2245,1767
123,2241,1732
113,2245,1738
129,2267,1700
110,2275,1711
121,2275,1700
98,2281,1717
124,2260,1712
91,2288,1717
114,2283,1699
94,2288,1714
79,2303,1714
113,2285,1698
102,2314,1680
117,2302,1677
106,2308,1682
108,2310,1678
105,2301,1690
81,2326,1689
100,2324,1672
101,2316,1679
106,2330,1660
100,2332,1664
88,2335,1673
78,2336,1682
99,2315,1682
92,2342,1662
94,2319,1683
84,2326,1686
81,2326,1689
69,2337,1690
97,2315,1684
81,2330,1685
92,2330,1674
104,2315,1677
83,2330,1683
80,2325,1691
92,2312,1692
89,2316,1691
99,2300,1697
88,2303,1705
87,2299,1710
101,2292,1703
98,2282,1716
91,2279,1726
88,2279,1729
