Achiral,Chiral A,Chiral B
3657,198,241
3324,380,392
2999,543,554
2656,716,724
2264,896,936
1945,1035,1116
1562,1180,1354
1222,1336,1538
965,1439,1692
699,1538,1859
549,1593,1954
477,1598,2021
394,1609,2093
359,1601,2136
310,1601,2185
292,1593,2211
283,1591,2222
294,1572,2230
247,1588,2261
287,1545,2264
287,1527,2282
273,1512,2311
284,1490,2322
262,1484,2350
297,1438,2361
261,1447,2388
268,1435,2393
253,1451,2392
250,1432,2414
247,1409,2440
260,1402,2434
267,1371,2458
243,1372,2481
249,1349,2498
253,1315,2528
236,1327,2533
225,1317,2554
250,1302,2544
237,1320,2539
239,1298,2559
231,1300,2565
256,1284,2556
250,1274,2572
226,1258,2612
243,1251,2602
261,1246,2589
258,1240,2598
254,1209,2633
271,1199,2626
248,1207,2641
221,1209,2666
254,1214,2628
230,1201,2665
244,1196,2656
250,1195,2651
232,1205,2659
277,1181,2638
233,1183,2680
246,1168,2682
223,1162,2711
230,1162,2704
209,1172,2715
254,1146,2696
213,1166,2717
229,1150,2717
227,1144,2725
208,1137,2751
228,1122,2746
226,1116,2754
220,1119,2757
224,1100,2772
235,1083,2778
211,1095,2790
212,1082,2802
231,1083,2782
251,1094,2751
233,1085,2778
202,1068,2826
214,1071,2811
227,1064,2805
224,1080,2792
235,1062,2799
251,1045,2800
224,1054,2818
231,1060,2805
237,1046,2813
247,1055,2794
228,1062,2806
254,1051,2791
223,1048,2825
232,1069,2795
222,1049,2825
211,1045,2840
212,1044,2840
235,1036,2825
211,1037,2848
213,1036,2847
219,1037,2840
224,1048,2824
253,1036,2807
242,1034,2820
200,1031,2865
233,1035,2828
242,1023,2831
258,1009,2829
257,1006,2833
230,1000,2866
219,1017,2860
222,1009,2865
242,995,2859
207,1007,2882
218,1002,2876
204,996,2896
219,999,2878
205,992,2899
231,952,2913
225,971,2900
198,985,2913
193,974,2929
205,958,2933
195,970,2931
198,967,2931
219,949,2928
198,950,2948
248,929,2919
223,927,2946
202,935,2959
242,918,2936
170,942,2984
244,930,2922
225,910,2961
222,908,2966
229,912,2955
221,903,2972
217,893,2986
209,891,2996
231,892,2973
243,891,2962
204,896,2996
235,883,2978
243,875,2978
202,872,3022
188,872,3036
222,850,3024
199,852,3045
211,877,3008
204,860,3032
203,866,3027
213,835,3048
220,854,3022
223,846,3027
247,833,3016
227,826,3043
209,838,3049
182,846,3068
207,815,3074
203,835,3058
209,816,3071
226,839,3031
231,812,3053
195,834,3067
226,815,3055
207,827,3062
194,820,3082
198,827,3071
194,813,3089
234,808,3054
216,814,3066
210,829,3057
196,819,3081
217,805,3074
178,827,3091
220,789,3087
211,798,3087
207,793,3096
218,786,3092
228,789,3079
240,779,3077
206,786,3104
210,796,3090
191,783,3122
221,752,3123
213,765,3118
195,788,3113
211,770,3115
202,755,3139
215,764,3117
223,742,3131
211,745,3140
202,759,3135
241,741,3114
228,751,3117
204,754,3138
214,735,3147
215,742,3139
234,736,3126
200,743,3153
232,739,3125
204,747,3145
221,754,3121
188,741,3167
