Achiral,Chiral A,Chiral B
251518,5409,5217
248845,6716,6583
246237,8020,7887
243716,9281,9147
241120,10584,10440
238483,11876,11785
235783,13271,13090
233002,14656,14486
230263,16024,15857
227523,17382,17239
224692,18778,18674
221630,20374,20140
218550,21907,21687
215353,23456,23335
212149,25060,24935
208769,26750,26625
204993,28736,28415
201199,30613,30332
197170,32645,32329
192925,34851,34368
188267,37161,36716
183549,39608,38987
178392,42145,41607
173181,44728,44235
167595,47684,46865
161858,50654,49632
155721,53807,52616
149412,57066,55666
142942,60495,58707
136191,64042,61911
129413,67517,65214
122628,71059,68457
115755,74618,71771
108745,78128,75271
101816,81769,78559
94896,85307,81941
87968,88931,85245
81169,92445,88530
74511,95915,91718
68016,99291,94837
61902,102429,97813
56052,105481,100611
50560,108317,103267
45317,110965,105862
40268,113567,108309
35813,115806,110525
31461,118049,112634
27525,120123,114496
23891,121987,116266
20707,123541,117896
17824,125068,119252
15413,126381,120350
13355,127503,121286
11478,128456,122210
9776,129346,123022
8475,130126,123543
7196,130692,124256
6306,131107,124731
5342,131619,125183
4672,131913,125559
4084,132282,125778
3669,132467,126008
3383,132615,126146
3141,132743,126260
2968,132862,126314
2621,132961,126562
2531,133044,126569
2410,133140,126594
2249,133162,126733
2248,133176,126720
2102,133233,126809
2161,133188,126795
2127,133228,126789
2087,133271,126786
2005,133261,126878
1995,133203,126946
1975,133249,126920
1986,133302,126856
1915,133358,126871
1942,133382,126820
1836,133459,126849
1862,133479,126803
1932,133483,126729
1958,133453,126733
1843,133501,126800
1908,133479,126757
1795,133540,126809
1779,133551,126814
1811,133533,126800
1812,133528,126804
1773,133533,126838
1739,133529,126876
1785,133517,126842
1736,133509,126899
1803,133447,126894
1793,133401,126950
1701,133426,127017
1679,133449,127016
1765,133335,127044
1801,133293,127050
1733,133303,127108
1743,133224,127177
1677,133295,127172
1652,133314,127178
1606,133318,127220
1758,133241,127145
1666,133303,127175
1598,133375,127171
1614,133398,127132
1679,133287,127178
1631,133344,127169
1668,133359,127117
1569,133404,127171
1669,133372,127103
1640,133447,127057
1652,133416,127076
1636,133386,127122
1589,133378,127177
1579,133468,127097
1640,133425,127079
1606,133402,127136
1603,133423,127118
1545,133465,127134
1576,133515,127053
1614,133527,127003
1535,133560,127049
1547,133547,127050
1589,133592,126963
1573,133637,126934
1587,133706,126851
1594,133737,126813
1523,133752,126869
1580,133708,126856
1432,133878,126834
1514,133885,126745
1537,133859,126748
1548,133849,126747
1500,133895,126749
1566,133917,126661
1519,133900,126725
1556,133855,126733
1505,133900,126739
1472,133898,126774
1465,133977,126702
1525,133937,126682
1450,133986,126708
1552,133928,126664
1449,133932,126763
1506,133900,126738
1443,133921,126780
1446,133908,126790
1440,133950,126754
1455,133980,126709
1401,134011,126732
1495,133904,126745
1432,134003,126709
1488,133957,126699
1563,133918,126663
1424,133982,126738
1479,133992,126673
1515,133954,126675
1472,133954,126718
1382,133981,126781
1487,133917,126740
1449,133989,126706
1443,133976,126725
1530,133937,126677
1421,133969,126754
1500,133989,126655
1432,134001,126711
1444,134034,126666
1369,134086,126689
1413,134100,126631
1450,134099,126595
1393,134139,126612
1349,134239,126556
1419,134230,126495
1376,134294,126474
1434,134274,126436
1425,134201,126518
1453,134181,126510
1381,134237,126526
1301,134295,126548
1404,134236,126504
1393,134214,126537
1401,134223,126520
1387,134250,126507
1406,134180,126558
1327,134200,126617
1412,134144,126588
1353,134199,126592
1308,134253,126583
1349,134207,126588
1257,134239,126648
1307,134267,126570
1305,134296,126543
1351,134236,126557
1332,134298,126514
1361,134280,126503
1296,134299,126549
1194,134373,126577
1314,134315,126515
1323,134324,126497
1275,134355,126514
1392,134236,126516
1321,134303,126520
1343,134328,126473
1266,134396,126482
1327,134368,126449
1329,134396,126419
1230,134517,126397
1320,134483,126341
1278,134495,126371
1340,134468,126336
1274,134546,126324
1262,134548,126334
1249,134534,126361
1273,134539,126332
1267,134617,126260
1291,134608,126245
1282,134547,126315
1326,134503,126315
1250,134583,126311
1299,134528,126317
1292,134552,126300
1347,134493,126304
1322,134546,126276
1329,134577,126238
1292,134586,126266
1295,134596,126253
1286,134568,126290
1313,134595,126236
1284,134574,126286
1342,134530,126272
1284,134614,126246
1258,134584,126302
1292,134570,126282
1268,134560,126316
1284,134615,126245
1307,134587,126250
1279,134569,126296
1245,134649,126250
1225,134645,126274
1230,134649,126265
1244,134651,126249
1250,134684,126210
1307,134666,126171
1217,134678,126249
1283,134657,126204
1282,134640,126222
1222,134691,126231
1247,134676,126221
1326,134596,126222
1233,134654,126257
1305,134610,126229
1284,134640,126220
1260,134597,126287
1257,134593,126294
1324,134539,126281
1256,134576,126312
1245,134552,126347
1251,134562,126331
1313,134564,126267
1242,134592,126310
1225,134582,126337
1310,134612,126222
1179,134715,126250
1301,134657,126186
1199,134762,126183
1241,134724,126179
1251,134777,126116
1234,134790,126120
1266,134765,126113
1256,134781,126107
1295,134768,126081
1091,134914,126139
1223,134853,126068
