Achiral,Chiral A,Chiral B
3910,106,80
3873,131,92
3847,140,109
3807,152,137
3771,172,153
3728,196,172
3694,218,184
3649,239,208
3620,255,221
3566,290,240
3531,308,257
3480,339,277
3415,372,309
3347,424,325
3287,460,349
3238,486,372
3186,506,404
3132,533,431
3055,585,456
2996,633,467
2904,688,504
2831,741,524
2741,797,558
2650,859,587
2562,907,627
2472,962,662
2401,1003,692
2296,1070,730
2216,1126,754
2120,1183,793
2016,1235,845
1900,1298,898
1761,1363,972
1653,1414,1029
1524,1486,1086
1395,1569,1132
1301,1643,1152
1194,1714,1188
1112,1774,1210
986,1847,1263
871,1911,1314
787,1970,1339
698,2032,1366
626,2078,1392
557,2126,1413
494,2177,1425
436,2216,1444
379,2257,1460
323,2296,1477
271,2339,1486
246,2360,1490
212,2381,1503
175,2411,1510
161,2435,1500
153,2456,1487
119,2487,1490
97,2508,1491
107,2515,1474
65,2543,1488
56,2547,1493
42,2549,1505
43,2552,1501
34,2568,1494
43,2572,1481
45,2573,1478
34,2588,1474
47,2581,1468
49,2591,1456
38,2611,1447
31,2619,1446
46,2615,1435
46,2620,1430
38,2624,1434
38,2630,1428
44,2632,1420
29,2650,1417
31,2656,1409
30,2668,1398
43,2670,1383
37,2682,1377
18,2713,1365
38,2707,1351
26,2712,1358
38,2717,1341
30,2718,1348
28,2722,1346
31,2725,1340
24,2739,1333
18,2741,1337
31,2739,1326
24,2749,1323
18,2755,1323
28,2759,1309
29,2763,1304
20,2772,1304
25,2774,1297
29,2777,1290
26,2789,1281
27,2801,1268
37,2799,1260
23,2804,1269
32,2803,1261
33,2817,1246
35,2821,1240
20,2828,1248
31,2819,1246
32,2819,1245
24,2822,1250
23,2830,1243
32,2834,1230
25,2840,1231
26,2840,1230
20,2851,1225
20,2860,1216
24,2862,1210
21,2868,1207
32,2871,1193
26,2880,1190
23,2891,1182
19,2895,1182
23,2893,1180
22,2894,1180
29,2891,1176
16,2900,1180
21,2906,1169
27,2908,1161
30,2913,1153
25,2916,1155
34,2918,1144
25,2926,1145
31,2916,1149
27,2921,1148
19,2929,1148
15,2928,1153
13,2938,1145
26,2927,1143
21,2935,1140
21,2944,1131
34,2939,1123
15,2954,1127
19,2957,1120
24,2955,1117
28,2957,1111
21,2973,1102
22,2972,1102
15,2978,1103
16,2978,1102
18,2979,1099
23,2981,1092
18,2988,1090
14,2990,1092
19,2987,1090
14,2991,1091
16,2996,1084
18,2989,1089
21,2993,1082
24,2999,1073
32,2987,1077
27,2995,1074
22,3009,1065
23,3010,1063
24,3013,1059
16,3020,1060
16,3022,1058
16,3030,1050
16,3037,1043
32,3030,1034
26,3032,1038
28,3036,1032
17,3054,1025
17,3054,1025
24,3056,1016
21,3063,1012
27,3063,1006
26,3062,1008
20,3067,1009
13,3072,1011
21,3068,1007
20,3075,1001
14,3081,1001
27,3076,993
19,3084,993
15,3087,994
16,3091,989
15,3098,983
23,3088,985
24,3091,981
26,3087,983
21,3085,990
27,3083,986
17,3090,989
24,3092,980
20,3093,983
23,3098,975
12,3103,981
23,3102,971
9,3110,977
15,3109,972
19,3105,972
17,3114,965
17,3114,965
27,3111,958
23,3111,962
17,3121,958
23,3120,953
23,3121,952
24,3117,955
23,3116,957
12,3117,967
16,3118,962
13,3119,964
18,3117,961
12,3118,966
24,3106,966
15,3115,966
22,3110,964
16,3119,961
30,3120,946
21,3124,951
20,3130,946
20,3134,942
18,3138,940
18,3138,940
8,3144,944
12,3148,936
17,3144,935
20,3142,934
7,3152,937
16,3148,932
26,3135,935
15,3149,932
29,3144,923
26,3144,926
16,3152,928
12,3161,923
24,3150,922
21,3156,919
24,3159,913
23,3161,912
21,3164,911
10,3171,915
9,3179,908
16,3175,905
22,3171,903
13,3179,904
12,3177,907
11,3183,902
13,3186,897
15,3189,892
19,3187,890
20,3188,888
21,3188,887
14,3196,886
11,3204,881
20,3194,882
20,3197,879
22,3201,873
15,3205,876
15,3207,874
14,3208,874
6,3217,873
13,3211,872
21,3209,866
13,3227,856
17,3220,859
18,3219,859
19,3217,860
11,3226,859
23,3217,856
20,3221,855
12,3225,859
26,3221,849
14,3226,856
14,3228,854
19,3223,854
17,3224,855
9,3230,857
9,3229,858
13,3231,852
14,3237,845
27,3228,841
22,3225,849
25,3225,846
24,3226,846
14,3233,849
12,3235,849
11,3234,851
17,3230,849
16,3229,851
5,3240,851
22,3234,840
14,3236,846
18,3228,850
22,3232,842
14,3245,837
21,3249,826
15,3251,830
23,3245,828
11,3257,828
18,3255,823
18,3260,818
12,3263,821
11,3261,824
12,3266,818
8,3269,819
13,3263,820
14,3260,822
8,3267,821
9,3267,820
11,3268,817
13,3263,820
16,3266,814
11,3265,820
12,3264,820
23,3258,815
13,3271,812
20,3269,807
14,3278,804
6,3285,805
12,3284,800
18,3282,796
15,3289,792
11,3292,793
22,3285,789
12,3290,794
13,3293,790
9,3294,793
14,3292,790
21,3284,791
16,3288,792
13,3288,795
14,3289,793
10,3296,790
17,3289,790
7,3295,794
9,3296,791
12,3296,788
8,3304,784
13,3300,783
12,3303,781
15,3296,785
8,3307,781
11,3308,777
14,3313,769
11,3314,771
21,3310,765
14,3309,773
19,3308,769
7,3318,771
7,3322,767
15,3316,765
11,3318,767
20,3313,763
21,3310,765
18,3310,768
12,3317,767
15,3317,764
16,3317,763
15,3321,760
19,3317,760
11,3323,762
14,3327,755
9,3336,751
5,3340,751
14,3340,742
9,3341,746
14,3340,742
19,3333,744
9,3340,747
19,3341,736
12,3347,737
13,3343,740
13,3346,737
15,3344,737
26,3340,730
20,3347,729
13,3354,729
21,3350,725
11,3357,728
29,3350,717
8,3365,723
16,3355,725
8,3363,725
22,3359,715
8,3365,723
12,3371,713
12,3372,712
15,3371,710
9,3375,712
11,3369,716
13,3375,708
16,3371,709
14,3366,716
10,3369,717
15,3368,713
7,3371,718
6,3375,715
12,3380,704
31,3364,701
12,3383,701
14,3382,700
14,3382,700
14,3386,696
16,3379,701
19,3382,695
5,3393,698
13,3388,695
13,3388,695
21,3387,688
18,3384,694
7,3399,690
23,3392,681
15,3397,684
11,3396,689
14,3394,688
17,3393,686
9,3409,678
17,3404,675
18,3403,675
17,3405,674
11,3412,673
14,3416,666
14,3415,667
11,3414,671
9,3418,669
10,3421,665
13,3419,664
20,3416,660
11,3423,662
11,3420,665
9,3424,663
11,3423,662
12,3417,667
18,3419,659
13,3422,661
23,3419,654
12,3425,659
16,3425,655
11,3428,657
12,3430,654
18,3428,650
18,3431,647
15,3430,651
10,3440,646
18,3436,642
9,3445,642
19,3439,638
13,3443,640
8,3447,641
10,3442,644
18,3440,638
10,3446,640
12,3444,640
13,3441,642
11,3440,645
13,3443,640
13,3449,634
10,3445,641
14,3445,637
14,3447,635
11,3449,636
9,3455,632
14,3449,633
14,3451,631
10,3452,634
12,3450,634
13,3451,632
24,3446,626
14,3456,626
17,3456,623
13,3460,623
15,3455,626
11,3456,629
11,3460,625
10,3459,627
12,3460,624
9,3463,624
10,3462,624
12,3462,622
14,3456,626
7,3458,631
9,3457,630
15,3451,630
15,3454,627
14,3456,626
7,3462,627
16,3457,623
17,3455,624
14,3457,625
12,3460,624
13,3461,622
15,3463,618
23,3457,616
14,3460,622
14,3463,619
14,3460,622
13,3463,620
14,3466,616
17,3466,613
6,3475,615
10,3472,614
5,3478,613
5,3480,611
14,3475,607
8,3476,612
13,3472,611
5,3477,614
9,3477,610
11,3475,610
13,3475,608
10,3483,603
9,3479,608
10,3478,608
8,3481,607
3,3482,611
15,3469,612
16,3470,610
14,3474,608
13,3477,606
