Achiral,Chiral A,Chiral B
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15778,281,325
15619,356,409
15465,439,480
15301,521,562
15119,612,653
14959,697,728
14819,753,812
14655,831,898
14511,910,963
14350,979,1055
14172,1076,1136
13982,1168,1234
13794,1276,1314
13602,1378,1404
13372,1502,1510
13149,1620,1615
12907,1734,1743
12664,1863,1857
12396,1998,1990
12138,2146,2100
11849,2289,2246
11556,2426,2402
11268,2556,2560
10975,2711,2698
10628,2901,2855
10307,3096,2981
9951,3292,3141
9532,3524,3328
9159,3713,3512
8751,3914,3719
8345,4117,3922
7916,4343,4125
7460,4585,4339
7025,4822,4537
6586,5049,4749
6156,5273,4955
5744,5497,5143
5348,5692,5344
4940,5919,5525
4528,6159,5697
4193,6359,5832
3875,6538,5971
3558,6720,6106
3367,6852,6165
3204,6963,6217
3077,7047,6260
2990,7102,6292
2909,7154,6321
2853,7192,6339
2817,7214,6353
2789,7235,6360
2761,7252,6371
2731,7272,6381
2705,7290,6389
2688,7305,6391
2676,7315,6393
2662,7324,6398
2652,7334,6398
2644,7342,6398
2637,7347,6400
2631,7352,6401
2626,7357,6401
2623,7359,6402
2621,7360,6403
2620,7360,6404
2618,7360,6406
2617,7360,6407
2616,7359,6409
2614,7360,6410
2613,7360,6411
2612,7360,6412
